A/lambda,Rate_Lr15,Power_Lr15,Cond_Lr15,SR_Lr15
1.0,12.964240,23.629003,10.54,1.0000
1.2,16.573695,56.375493,12.81,1.0000
1.4,17.369920,47.387774,6.00,1.0000
1.5999999999999999,15.455891,21.374648,2.56,1.0000
1.7999999999999998,16.508408,46.780337,4.90,1.0000
1.9999999999999998,14.902973,44.847652,18.18,1.0000
2.1999999999999997,16.772318,75.381504,26.69,1.0000
2.3999999999999995,19.741882,112.031686,7.49,1.0000
2.5999999999999996,13.731747,17.700424,3.18,1.0000
2.8,13.914205,59.338986,57.13,1.0000
2.9999999999999996,18.434472,35.760066,2.33,1.0000
3.1999999999999993,16.221020,27.680370,2.76,1.0000
3.3999999999999995,18.206859,60.334011,5.92,1.0000
3.5999999999999996,15.728753,31.044767,4.05,1.0000
3.7999999999999994,17.131486,34.157052,3.27,1.0000
3.999999999999999,18.182693,34.850089,2.50,1.0000
4.199999999999999,17.533137,38.913503,3.23,1.0000
4.3999999999999995,15.890482,52.512355,13.80,1.0000
4.6,15.675957,22.535561,2.28,1.0000
4.799999999999999,18.402292,44.429973,3.78,1.0000
4.999999999999999,18.514401,46.620722,3.41,1.0000
5.199999999999999,19.164117,71.035793,4.94,1.0000
5.399999999999999,20.778053,71.655968,3.47,1.0000
5.599999999999999,18.486403,43.252979,3.60,1.0000
5.799999999999999,19.388147,79.542408,5.49,1.0000
5.999999999999999,16.827484,73.990051,34.55,1.0000
6.199999999999999,19.910719,72.717925,4.68,1.0000
6.399999999999999,16.601869,23.342936,1.76,1.0000
6.599999999999999,18.509186,51.704063,4.30,1.0000
6.799999999999999,17.075528,37.349016,3.61,1.0000
6.999999999999998,16.070449,27.681097,3.25,1.0000
7.199999999999998,15.276972,37.051554,6.74,1.0000
7.399999999999999,17.986736,31.953787,2.14,1.0000
7.599999999999999,16.029524,25.306486,2.78,1.0000
7.799999999999999,19.920628,52.277035,3.02,1.0000
7.999999999999998,17.582519,35.597622,3.14,1.0000
8.2,18.885870,121.733442,8.05,1.0000
8.399999999999999,12.863321,24.150200,9.68,1.0000
8.599999999999998,14.077236,20.320622,3.33,1.0000
8.799999999999997,15.464037,25.099434,3.02,1.0000
8.999999999999998,17.065929,75.179800,7.56,1.0000
9.199999999999998,16.763083,34.781760,3.52,1.0000
9.399999999999999,16.730801,43.066616,5.65,1.0000
9.599999999999998,20.359216,67.445497,3.63,1.0000
9.799999999999997,15.690548,21.862447,2.40,1.0000
